,MRT Name,Latitude,Longitude
139,RUMBIA LRT STATION,1.39146849534132,103.90597359341
140,PETIR LRT STATION,1.37777204259082,103.766645782497
141,BISHAN MRT STATION,1.35131580146658,103.84914026532
142,BOON LAY MRT STATION,1.33861033900695,103.706084900902
143,KEAT HONG LRT STATION,1.3786032506373,103.749055668925
144,JELAPANG LRT STATION,1.38673926997961,103.76453408646
145,CHOA CHU KANG LRT STATION,1.38475541089131,103.74453769781
146,SENGKANG LRT STATION,1.39160936379906,103.895442583336
147,HARBOURFRONT MRT STATION,1.26538938374901,103.821530157095
148,PENDING LRT STATION,1.37613574334988,103.771261175571
149,CLARKE QUAY MRT STATION,1.28871023151727,103.846610945684
150,BISHAN DEPOT,1.35535858543375,103.853976756031
151,BUKIT PANJANG LRT STATION,1.37792694616982,103.763102931112
152,FAJAR LRT STATION,1.38457317668026,103.770887223018
153,KOVAN MRT STATION,1.36017917065237,103.885064856353
154,LORONG CHUAN MRT STATION,1.35163927757418,103.863945738773
155,MARYMOUNT MRT STATION,1.348707263451,103.839423132332
156,HARBOURFRONT MRT STATION,1.26538938374901,103.821530157095
157,BUONA VISTA MRT STATION,1.3072237082044,103.790253514502
158,CALDECOTT MRT STATION,1.33724561271722,103.840161782075
159,BUGIS MRT STATION,1.30046508509717,103.855706730933
160,NEWTON MRT STATION,1.3123189224097,103.837984594021
161,CHINATOWN MRT STATION,1.28422391919085,103.845143798953
162,DOWNTOWN MRT STATION,1.27944638178916,103.852840829581
163,GEYLANG BAHRU MRT STATION,1.32130110228321,103.871622627142
164,BENDEMEER MRT STATION,1.31367252847691,103.862977620945
165,BENCOOLEN MRT STATION,1.29891843369422,103.850353762717
166,FORT CANNING MRT STATION,1.29248194822996,103.844331362465
167,KAKI BUKIT MRT STATION,1.33496735995428,103.908459338046
168,TAMPINES MRT STATION,1.34551530560119,103.938436971222
169,JALAN BESAR MRT STATION,1.3051713878069,103.855295713435
170,MATTAR MRT STATION,1.32687671501334,103.883247509542
171,MACPHERSON MRT STATION,1.32615024457361,103.889298600376
172,BAYFRONT MRT STATION,1.28187378879209,103.859079764874
173,DHOBY GHAUT MRT STATION,1.29865522366188,103.846194160829
174,FARRER ROAD MRT STATION,1.31743915158967,103.807379214161
175,JURONG EAST MRT STATION,1.33315261987295,103.742286544006
176,BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995
177,BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286
178,ORCHARD MRT STATION,1.30242224836722,103.823868523249
179,BUKIT BROWN MRT STATION,1.33372888295973,103.830689549849
180,LENTOR MRT STATION,1.38550657972169,103.835743809669
181,BRIGHT HILL MRT STATION,1.36384676605097,103.833899206658
182,SPRINGLEAF MRT STATION,1.39758106126824,103.817856949947
183,MARINA SOUTH PIER MRT STATION,1.27102703612006,103.862447515736
184,MACPHERSON MRT STATION,1.32615024457361,103.889298600376
185,CANBERRA MRT STATION,1.44307664075699,103.829702590959
186,WOODLANDS SOUTH MRT STATION,1.42748811362716,103.792729941333
187,WOODLANDS NORTH MRT STATION,1.44778217342648,103.7851355073
188,GUL CIRCLE MRT STATION,1.31947090075208,103.660530461345
189,TUAS DEPOT,1.34220625292052,103.639023145587
190,WOODLANDS MRT STATION,1.43605761708128,103.787938777173
191,MANDAI DEPOT,1.41664625690637,103.798600095999
192,MARINA BAY MRT STATION,1.27631114381584,103.854604975361
193,OUTRAM PARK MRT STATION,1.27973970679335,103.839513521005
194,HAVELOCK MRT STATION,1.28850523975311,103.833585838226
195,STEVENS MRT STATION,1.32006555750626,103.826024401924
196,NAPIER MRT STATION,1.30678223364785,103.818956796815
197,MOUNT PLEASANT MRT STATION,1.32856455460666,103.83518858199
198,SHENTON WAY MRT STATION,1.2777168283425,103.850367596067
199,MARINA SOUTH MRT STATION,1.27102703612006,103.862447515736
200,GARDENS BY THE BAY MRT STATION,1.27848725876303,103.867454664421
201,GREAT WORLD MRT STATION,1.2933164567796,103.833906630914
202,MAXWELL MRT STATION,1.28053329842878,103.843883670633
203,MARINA BAY MRT STATION,1.27631114381584,103.854604975361
204,ORCHARD BOULEVARD MRT STATION,1.30362307278619,103.82365038919
205,ORCHARD MRT STATION,1.30242224836722,103.823868523249
206,TELOK BLANGAH MRT STATION,1.27070647772509,103.809761611219
207,TECK WHYE LRT STATION,1.37668467920808,103.753712232337
208,TECK LEE LRT STATION,1.4127708937463,103.906577622768
209,TANJONG PAGAR MRT STATION,1.27656829207824,103.846006679025
210,TANAH MERAH MRT STATION,1.32731098211445,103.946451703007
211,TAN KAH KEE MRT STATION,1.32639224146351,103.806548201692
212,UPPER THOMSON MRT STATION,1.35441643365401,103.832898468504
