,Description,Lat,Lon,RackType,RackCount,ShelterIndicator,geometry,within
58,TELOK BLANGAH DRIVE BLOCK 55_YB,1.274176234184962,103.81171332136144,Yellow Box,40,N,POINT (103.81171332136144 1.274176234184962),TELOK BLANGAH DRIVE
59,TELOK BLANGAH DRIVE BLOCK 75_YB,1.2750241938638054,103.80905938213178,Yellow Box,23,N,POINT (103.80905938213178 1.2750241938638054),TELOK BLANGAH DRIVE
60,TELOK BLANGAH DRIVE BLOCK 77,1.2740848840055192,103.80852795660256,Yellow Box,20,N,POINT (103.80852795660256 1.2740848840055192),TELOK BLANGAH DRIVE
61,TELOK BLANGAH DRIVE BLOCK 79,1.273132524458343,103.80762712005549,Yellow Box,20,N,POINT (103.80762712005549 1.273132524458343),TELOK BLANGAH DRIVE
62,TELOK BLANGAH HEIGHTS BLOCK 61_YB,1.27523296124245,103.81282802896766,Yellow Box,15,N,POINT (103.81282802896766 1.27523296124245),TELOK BLANGAH DRIVE
63,TELOK BLANGAH HEIGHTS BLOCK 62_YB,1.2754123243514754,103.81069256775504,Yellow Box,20,N,POINT (103.81069256775504 1.2754123243514754),TELOK BLANGAH DRIVE
64,TELOK BLANGAH HEIGHTS BLOCK 70,1.2762896575328166,103.8102939839986,Yellow Box,23,N,POINT (103.8102939839986 1.2762896575328166),TELOK BLANGAH DRIVE
65,TELOK BLANGAH HEIGHTS BLOCK 85_YB,1.2774698436715064,103.8085792854295,Yellow Box,16,N,POINT (103.8085792854295 1.2774698436715064),TELOK BLANGAH DRIVE
66,150005-1,1.2847004476173665,103.81743722173792,HDB_RACKS,3,N,POINT (103.81743722173792 1.2847004476173665),REDHILL
67,ALEXANDRA VILLAGE INDUSTRIAL ESTATE (BLOCK 1008),1.2853825212435683,103.80445304352484,Yellow Box,13,N,POINT (103.80445304352484 1.2853825212435683),ALEXANDRA HILL
68,150005-2,1.284595001434428,103.81782534511753,HDB_RACKS,3,N,POINT (103.81782534511753 1.284595001434428),REDHILL
69,150015-1,1.285885741176117,103.81694567321544,HDB_RACKS,4,N,POINT (103.81694567321544 1.285885741176117),REDHILL
70,150061-1,1.2898086428606332,103.81393067090951,HDB_RACKS,40,N,POINT (103.81393067090951 1.2898086428606332),ALEXANDRA HILL
71,DEPOT LANE INDUSTRIAL ESTATE (BLOCK 4001),1.2814260430769229,103.81337362713198,Yellow Box,13,N,POINT (103.81337362713198 1.2814260430769229),DEPOT ROAD
72,150061-2,1.2897298416238188,103.81376103777272,HDB_RACKS,40,N,POINT (103.81376103777272 1.2897298416238188),ALEXANDRA HILL
73,GILLMAN BARRACKS (BLOCK 10 TOILET),1.2787851330939637,103.80479483906868,Yellow Box,13,N,POINT (103.80479483906868 1.2787851330939637),TELOK BLANGAH DRIVE
74,GILLMAN BARRACKS (BLOCK 22),1.276972201942992,103.804483015703,Yellow Box,13,N,POINT (103.804483015703 1.276972201942992),TELOK BLANGAH DRIVE
75,GILLMAN BARRACKS (BLOCK 6),1.277426603046523,103.80431079859346,Yellow Box,12,N,POINT (103.80431079859346 1.277426603046523),TELOK BLANGAH DRIVE
76,GILLMAN BARRACKS (BLOCK 7),1.277876325162947,103.80463194579012,Yellow Box,13,N,POINT (103.80463194579012 1.277876325162947),TELOK BLANGAH DRIVE
77,150064-1,1.289506588171888,103.81551609625627,HDB_RACKS,8,N,POINT (103.81551609625627 1.289506588171888),ALEXANDRA HILL
78,150078-1,1.288479392598764,103.81806348550722,HDB_RACKS,5,N,POINT (103.81806348550722 1.288479392598764),REDHILL
79,150078-2,1.2884395720097133,103.81891916895304,HDB_RACKS,12,N,POINT (103.81891916895304 1.2884395720097133),REDHILL
80,150080-1,1.2876380808128003,103.81886971202908,HDB_RACKS,13,N,POINT (103.81886971202908 1.2876380808128003),REDHILL
81,WESSEX CARPARK,1.2942171192563012,103.79767475088858,Yellow Box,13,N,POINT (103.79767475088858 1.2942171192563012),ONE NORTH
82,WESSEX VILLAGE SQUARE,1.2940792027707095,103.79613031637304,Yellow Box,13,N,POINT (103.79613031637304 1.2940792027707095),ONE NORTH
83,150119-2,1.2861494716619444,103.80480786337075,HDB_RACKS,2,N,POINT (103.80480786337075 1.2861494716619444),ALEXANDRA HILL
84,150122-1,1.2866293409499532,103.80425394610845,HDB_RACKS,4,N,POINT (103.80425394610845 1.2866293409499532),ALEXANDRA HILL
