,Name,Description,geometry,within
345,Ramp,,POINT Z (103.8664338 1.3259336 0),BENDEMEER
346,Traffic light,,POINT Z (103.752547 1.4083491 0),PANG SUA
347,Traffic light (with bicycle crossing),,POINT Z (103.8992836 1.4138545 0),SZ1
348,Traffic light,,POINT Z (103.7571143 1.4236612 0),KRANJI
349,Footbridge,,POINT Z (103.7664536 1.362034 0),HILLVIEW
350,Traffic light,,POINT Z (103.9311039 1.3661025 0),TAMPINES NORTH
351,Traffic light,,POINT Z (103.7556779 1.4114734 0),TURF CLUB
352,Traffic light,,POINT Z (103.7558643 1.4114023 0),MANDAI
353,Traffic light,,POINT Z (103.7559783 1.4114841 0),MANDAI
354,Traffic light,,POINT Z (103.9488056 1.3709815 0),PASIR RIS TOWN
355,Traffic light,,POINT Z (103.9421269 1.3605224 0),TAMPINES NORTH
356,Ramp,,POINT Z (103.7926828 1.3048054 0),TANGLIN HALT
357,Traffic light,,POINT Z (103.8682033 1.3287342 0),POTONG PASIR
358,Traffic light (with bicycle crossing),,POINT Z (103.870941 1.3107046 0),KAMPONG BUGIS
359,Traffic light,,POINT Z (103.9522746 1.3301586 0),XILIN
360,Steps (with wheeling ramp),,POINT Z (103.9197315 1.3409415 0),BEDOK RESERVOIR
361,Traffic light,,POINT Z (103.9649459 1.3677856 0),PASIR RIS DRIVE
362,Traffic light,,POINT Z (103.9651364 1.3677668 0),PASIR RIS DRIVE
363,Traffic light,,POINT Z (103.8353283 1.4474436 0),SEMBAWANG EAST
