MRT.Name,time_difference,distance,steepness,suitability,Weighted_Score,rank
KAKI BUKIT MRT STATION,7.716666666666667,1.152,0.0,6.61861770730597,8.151160832511444,32
YEW TEE MRT STATION,6.033333333333335,1.313,0.3333333333333333,7.44984327318176,8.07727461854541,33
HOUGANG MRT STATION,8.09,1.1654,0.0631006811607726,6.309894581654538,8.044525597207553,34
SOO TECK LRT STATION,5.916666666666666,0.925,1.0,7.39404296875,7.996901041666668,35
REDHILL MRT STATION,6.233333333333334,1.6524999999999999,0.0,7.2524850906705165,7.964821405869748,36
LENTOR MRT STATION,5.389583333333333,0.839,0.125,7.449742610818055,7.935327421987777,37
MATTAR MRT STATION,5.3805555555555555,0.9726666666666667,0.16666666666666666,7.451173990473876,7.901961414601323,38
LITTLE INDIA MRT STATION,4.033333333333333,0.577,0.0,8.0,7.8979333333333335,39
KHATIB MRT STATION,6.533333333333334,1.9965,0.0,7.0980624269379975,7.892483274883732,40
SAMUDERA LRT STATION,4.933333333333334,0.71,0.0,7.566915887850467,7.884866043613707,41
KOVAN MRT STATION,6.218253968253968,1.0,0.047619047619047616,6.965424270154538,7.8548790986633135,42
CHENG LIM LRT STATION,3.75,0.42,0.0,7.960518750399284,7.784415000319427,43
MARYMOUNT MRT STATION,6.083333333333333,0.866,0.4,6.950535975889427,7.7805621140448755,44
WOODLANDS MRT STATION,6.200000000000003,1.705,0.0,7.0397996273557535,7.770839701884604,45
BOON LAY MRT STATION,5.1916666666666655,1.6475,0.0,7.520973237983402,7.763945257053388,46
KEMBANGAN MRT STATION,5.246929824561403,2.0507894736842105,0.0,7.571091500366879,7.745487235381222,47
BARTLEY MRT STATION,7.322222222222223,1.3765555555555555,0.1583268153013029,6.342672514351408,7.711883107728775,48
KANGKAR LRT STATION,7.966666666666667,1.096,0.5,5.977535654169151,7.699495190001989,49
CHOA CHU KANG LRT STATION,6.533333333333333,0.821,0.0,6.51648424543947,7.662320729684909,50
FORT CANNING MRT STATION,7.566666666666666,0.69,0.0,5.963188576668632,7.659217528001573,51
MARSILING MRT STATION,7.783333333333333,1.117,0.0574644907827138,5.959013010728025,7.6513972928374825,52
ORCHARD MRT STATION,5.833333333333333,0.78525,1.0,6.939191560374675,7.627636581633075,53
YIO CHU KANG MRT STATION,8.857142857142858,4.641857142857143,0.0,6.2384119342569875,7.6052152616913045,54
TAN KAH KEE MRT STATION,6.381818181818181,1.7552727272727273,0.10049102541512621,6.7316598674646,7.576951518702896,55
STEVENS MRT STATION,6.483333333333333,0.7824444444444444,0.2222222222222222,6.428469955066593,7.557398186275497,56
THANGGAM LRT STATION,6.083333333333333,1.012,0.3333333333333333,6.671587495842012,7.53486999667361,57
NOVENA MRT STATION,5.99,1.2711999999999999,0.0,6.726651040525813,7.523080832420652,58
GREAT WORLD MRT STATION,6.383333333333333,0.9825,0.5,6.460945389399223,7.475589644852712,59
ONE-NORTH MRT STATION,5.816666666666667,0.648,0.0,6.571053224232415,7.453909246052599,60
