MRT.Name,Latitude,Longitude,time_difference,distance,steepness,suitability,approximated?,Weighted_Score,rank
HARBOURFRONT MRT STATION,1.265389384,103.8215302,6.893333333266665,1.5033999999999998,0.6384984683122834,5.732340122940796,0.0,6.978675584828075,85
CHOA CHU KANG LRT STATION,1.384755411,103.7445377,3.1033333334,0.7218,0.0,7.333886979614118,0.0,6.964082917051296,86
ALJUNIED MRT STATION,1.316432612,103.882906,3.6500000002666666,0.7636000000000001,0.0,7.05374861823285,0.0,6.950278894692948,87
BUKIT PANJANG LRT STATION,1.377926946,103.7631029,4.9766666664666666,0.917,0.3761145611312652,6.413237133146332,0.0,6.900244916990606,88
TAN KAH KEE MRT STATION,1.326392241,103.8065482,5.1233333314,1.4326,0.2,6.444337348438355,0.0,6.898283211310684,89
BUGIS MRT STATION,1.300465085,103.8557067,5.673333333266667,0.768,0.0,5.975664415443796,0.0,6.8962648656617045,90
TAMPINES WEST MRT STATION,1.345633658,103.9384925,4.386666666799999,0.744,0.4,6.6576764821531444,0.0,6.892007852442516,91
TAMPINES MRT STATION,1.345515306,103.938437,4.433333333266667,0.7522,0.4,6.6134383806387245,0.0,6.873644037817647,92
MARYMOUNT MRT STATION,1.348707263,103.8394231,4.6233333332,0.9071999999999999,0.4,6.52880783888188,0.0,6.850939604385505,93
MACPHERSON MRT STATION,1.326150245,103.8892986,3.3433333332000004,1.1272,0.0,7.173751502482446,0.0,6.850894535265957,94
YEW TEE MRT STATION,1.397297711,103.7473577,2.889999999733334,0.6702,0.8,7.385921969052271,0.0,6.85069757513515,95
POTONG PASIR MRT STATION,1.331879714,103.8690579,2.6800000000666664,0.8426,0.0,7.4182518098897345,0.0,6.838081447938455,96
SENGKANG MRT STATION,1.391694626,103.8954847,3.496666666666667,0.6244,0.2,6.9716335361709625,0.0,6.8310934956034375,97
SENGKANG LRT STATION,1.391609364,103.8954426,3.4733333334000003,0.6247999999999999,0.2,6.969594842540519,0.0,6.820049207392416,98
RANGGUNG LRT STATION,1.384233559,103.8971947,3.1899999998666666,0.5631999999999999,0.6,7.133680818378845,0.0,6.810304654649743,99
PHOENIX LRT STATION,1.378615451,103.7579956,4.9966666666,0.717,1.0,6.30302913028518,0.0,6.797689970868145,100
LAYAR LRT STATION,1.392079837,103.8800296,3.7966666667333326,0.6719999999999999,0.4,6.8059313923971585,0.0,6.78901178061106,101
STEVENS MRT STATION,1.320065558,103.8260244,4.453333333133334,0.648,0.2,6.435129986157901,0.0,6.779837322179655,102
DAMAI LRT STATION,1.405234836,103.9086035,3.6966666665333334,0.545,0.0,6.756699475011348,0.0,6.775026246622412,103
