centroid_name,Latitude_x,Longitude_x,MRT.Name,Latitude_y,Longitude_y,time_difference,suitability,Weighted_Score
SERANGOON GARDEN ESTATE,1.364404145628798,103.86116246776652,ANG MO KIO MRT STATION,1.369428557,103.8494552,10.05,5.694448987008268,8.027508749894427
SELEGIE COURT,1.3029794835959805,103.8500241792781,ROCHOR MRT STATION,1.303852185,103.8527694,3.4333333333333336,7.0077912441256505,6.869966328633854
21 TAMAN BEDOK,1.32516575774765,103.95358433835052,BEDOK MRT STATION,1.320401487,103.9571838,15.333333333333332,6.737090264418544,11.263205544868168
EDEN PARK,1.3314405401314937,103.79142023542668,SIXTH AVENUE MRT STATION,1.330857645,103.7969068,6.033333333333333,6.624739231807584,7.5689247187794
12A JALAN RIMAU,1.329081346564808,103.90760927881576,KAKI BUKIT MRT STATION,1.33496736,103.9084593,7.716666666666667,6.61861770730597,8.151160832511444
16B ROBIN CLOSE,1.3181452162769776,103.8271392027576,STEVENS MRT STATION,1.320065558,103.8260244,2.2833333333333328,7.033182904167772,6.366079656667551
GREENBANK PARK,1.3479548489760649,103.78929050015633,KING ALBERT PARK MRT STATION,1.335661613,103.7833991,25.883333333333336,6.97211570907083,15.400220967923353
SHEPHERD'S HILL ESTATE,1.2911185728504784,103.80599972755508,QUEENSTOWN MRT STATION,1.294550852,103.8060772,3.6666666666666665,6.413597178683386,6.396144409613376
SUNNY TERRACE,1.3131949158789302,103.92519902649306,KEMBANGAN MRT STATION,1.321038134,103.9129479,12.783333333333331,7.925728452081777,10.945116094998756
MANDAI GARDEN,1.4034140309114735,103.81482444010936,SPRINGLEAF MRT STATION,1.397581061,103.8178569,4.049999999999999,5.989080079417604,6.181464063534083
THOMSON VIEW CONDOMINIUM,1.3579174258579088,103.82883037711584,UPPER THOMSON MRT STATION,1.354416434,103.8328985,2.1499999999999995,5.192679157813405,4.812943326250725
65A PASIR PANJANG HILL,1.2818674200127451,103.78501760427264,HAW PAR VILLA MRT STATION,1.281956887,103.781989,9.383333333333333,5.419602131166393,7.907815038266448
LORNIE 18,1.3377275981908567,103.8199729247406,BOTANIC GARDENS MRT STATION,1.322113736,103.8149845,-34.099999999999994,6.591541808160918,-10.314024914560978
SUN SAILS,1.442124464812284,103.82203008077524,SEMBAWANG MRT STATION,1.449050822,103.8200461,9.816666666666666,6.720521771082124,9.021484083532366
CENTURY WOODS,1.4277777421978468,103.77666620721564,MARSILING MRT STATION,1.432521149,103.7740746,6.616666666666667,5.874479437792817,7.146450216900921
56 LORONG 25A GEYLANG,1.3153658992632251,103.8831764568889,ALJUNIED MRT STATION,1.316432612,103.882906,1.416666666666667,7.68375325803649,6.69206927309586
SEMBAWANG STRAITS ESTATE,1.4573688213420664,103.83659265900384,CANBERRA MRT STATION,1.443076641,103.8297026,20.450000000000003,7.575409871290745,13.719727897032598
RICH EAST GARDEN,1.313436921611622,103.93721775946028,TANAH MERAH MRT STATION,1.327310982,103.9464517,11.35,6.414876335598417,8.993301068478734
3C MARTIA ROAD,1.3078852355043005,103.9106244446323,KEMBANGAN MRT STATION,1.321038134,103.9129479,14.5,7.934331986465622,11.669265589172499
CASHEW VILLAS,1.3699314492502712,103.76898512645164,CASHEW MRT STATION,1.369815449,103.7644392,5.733333333333333,7.753242291505626,8.182727166537836
OPERA ESTATE,1.32158587645523,103.92469639230472,KEMBANGAN MRT STATION,1.321038134,103.9129479,9.016666666666667,7.616984826235928,9.39405452765541
BARTLEY SECONDARY SCHOOL,1.33978327578662,103.88314253325352,BARTLEY MRT STATION,1.342501178,103.8801779,1.9833333333333345,6.286736693153369,5.583922687856029
EASTERN GROVE,1.3240107832450905,103.94632340604475,TANAH MERAH MRT STATION,1.327310982,103.9464517,-9.216666666666669,6.7561248600920285,1.0246332214069556
CHARLTON PARK,1.3563312248916206,103.88704447253296,KOVAN MRT STATION,1.360179171,103.8850649,4.916666666666666,7.565495947510612,7.704863424675156
SANCTUARY GREEN,1.2967756930162893,103.87157814752524,STADIUM MRT STATION,1.302812468,103.8753377,8.866666666666667,7.927519315213162,9.551882118837197
WEST COAST GARDENS,1.3167046471721355,103.7547112563064,CLEMENTI MRT STATION,1.315116253,103.7651915,-16.08333333333333,6.878001425192866,-2.2457321931790384
10 COVE WAY,1.2421068133330435,103.83889625442708,HARBOURFRONT MRT STATION,1.265389384,103.8215302,33.9,7.068507727387889,18.275745899839542
