,Unnamed: 0,Latitude_x,Longitude_x,index_x,join_key,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration,centroid_name,MRT_Name
58,56,1.3069895284265052,103.85441914432418,201,A,1.298918434,103.8503538,141,1.0048296403848458,"coordinate_pair(lat_x=1.3069895284265052, lon_x=103.85441914432418, lat_y=1.298918434, lon_y=103.8503538)",1.192,8.266666666666667,52 CHITTY ROAD,BENCOOLEN MRT STATION
59,57,1.2972337943804126,103.84097632354472,82,A,1.298918434,103.8503538,141,1.059156901316176,"coordinate_pair(lat_x=1.2972337943804126, lon_x=103.84097632354472, lat_y=1.298918434, lon_y=103.8503538)",1.436,9.533333333333331,OXLEY RESIDENCE,BENCOOLEN MRT STATION
60,60,1.3113032825751665,103.85939778353172,184,A,1.313672528,103.8629776,140,0.4772540967532467,"coordinate_pair(lat_x=1.3113032825751663, lon_x=103.85939778353173, lat_y=1.313672528, lon_y=103.8629776)",0.763,5.65,302 @ BESAR,BENDEMEER MRT STATION
61,60,1.317883587307786,103.86161373017907,212,A,1.313672528,103.8629776,140,0.4921827176584831,"coordinate_pair(lat_x=1.317883587307786, lon_x=103.86161373017907, lat_y=1.313672528, lon_y=103.8629776)",0.702,4.783333333333333,BENDEMEER VILLE,BENDEMEER MRT STATION
62,61,1.305827281281948,103.8623129166334,98,A,1.313672528,103.8629776,140,0.875475368150914,"coordinate_pair(lat_x=1.305827281281948, lon_x=103.86231291663341, lat_y=1.313672528, lon_y=103.8629776)",1.74,10.866666666666667,CRAWFORD LANE,BENDEMEER MRT STATION
63,61,1.3152370537136828,103.85459035427516,38,A,1.313672528,103.8629776,140,0.9484647877741952,"coordinate_pair(lat_x=1.3152370537136828, lon_x=103.85459035427515, lat_y=1.313672528, lon_y=103.8629776)",1.723,12.283333333333331,45B JOO AVENUE,BENDEMEER MRT STATION
64,62,1.322619880370448,103.86129903653968,44,A,1.313672528,103.8629776,140,1.0122476637725286,"coordinate_pair(lat_x=1.3226198803704479, lon_x=103.86129903653968, lat_y=1.313672528, lon_y=103.8629776)",1.884,12.266666666666667,3 SAINT GEORGE'S ROAD,BENDEMEER MRT STATION
65,65,1.35228442471909,103.846208668151,114,A,1.351315801,103.8491403,111,0.3432289306300726,"coordinate_pair(lat_x=1.35228442471909, lon_x=103.846208668151, lat_y=1.351315801, lon_y=103.8491403)",0.792,5.2,THOMSON RISE ESTATE,BISHAN MRT STATION
66,65,1.3481371699232108,103.85006389464333,66,A,1.351315801,103.8491403,111,0.3680577148780195,"coordinate_pair(lat_x=1.3481371699232108, lon_x=103.85006389464333, lat_y=1.351315801, lon_y=103.8491403)",0.468,3.1666666666666665,BISHAN SPRING,BISHAN MRT STATION
67,66,1.349703914250073,103.84433897748085,239,A,1.351315801,103.8491403,111,0.5630249615824506,"coordinate_pair(lat_x=1.349703914250073, lon_x=103.84433897748085, lat_y=1.351315801, lon_y=103.8491403)",1.165,7.45,CLOVER PARK,BISHAN MRT STATION
68,66,1.3569266513530682,103.84735019364278,40,A,1.351315801,103.8491403,111,0.6548647977745218,"coordinate_pair(lat_x=1.3569266513530682, lon_x=103.84735019364278, lat_y=1.351315801, lon_y=103.8491403)",1.013,6.333333333333333,BISHAN ACTIVE PARK,BISHAN MRT STATION
69,67,1.354038802416034,103.84191934723128,54,A,1.351315801,103.8491403,111,0.8579165176568858,"coordinate_pair(lat_x=1.354038802416034, lon_x=103.84191934723128, lat_y=1.351315801, lon_y=103.8491403)",1.429,9.083333333333334,CORAL PARK,BISHAN MRT STATION
70,70,1.317883587307786,103.86161373017907,212,A,1.319939577,103.8620527,69,0.2337656427537999,"coordinate_pair(lat_x=1.317883587307786, lon_x=103.86161373017907, lat_y=1.319939577, lon_y=103.8620527)",0.328,2.183333333333333,BENDEMEER VILLE,BOON KENG MRT STATION
