Latitude,Longitude,PostalCode
1.26531148286778,103.816694452008,098019
1.26573430357684,103.81687003255,098020
1.26603973597603,103.816917191932,098021
1.2663826839023,103.817068445267,098022
1.23906474331908,103.831461398796,098027
1.23920972382812,103.831339318031,098028
1.23938633721149,103.836378636324,098037
1.23937997471716,103.835785571785,098042
1.23941135036564,103.835164185796,098043
1.23987343992239,103.835643705144,098044
1.23986622655062,103.835813662796,098045
1.23989974298708,103.834968233265,098046
1.23840920575874,103.83285639243,098047
1.23888239662868,103.832321661894,098048
1.23898505018309,103.832225663556,098049
1.23971046598268,103.834362412196,098050
1.2384709347713,103.832100662939,098051
1.24325350799398,103.838060691957,098052
1.24320281876066,103.837812124707,098053
1.24181793030592,103.835327469193,098054
1.24202549370433,103.835544949232,098055
1.23908978104501,103.832095479068,098056
