S/N,MRT.Name,Latitude,Longitude,Color
140,GEYLANG BAHRU MRT STATION,1.321301102,103.8716226,blue
141,BENDEMEER MRT STATION,1.313672528,103.8629776,blue
142,BENCOOLEN MRT STATION,1.298918434,103.8503538,blue
143,FORT CANNING MRT STATION,1.292481948,103.8443314,blue
144,KAKI BUKIT MRT STATION,1.33496736,103.9084593,blue
145,JALAN BESAR MRT STATION,1.305171388,103.8552957,blue
146,MATTAR MRT STATION,1.326876715,103.8832475,blue
147,MACPHERSON MRT STATION,1.326150245,103.8892986,yellow
148,BAYFRONT MRT STATION,1.281873789,103.8590798,yellow
149,FARRER ROAD MRT STATION,1.317439152,103.8073792,yellow
150,JURONG EAST MRT STATION,1.33315262,103.7422865,red
151,BEDOK NORTH MRT STATION,1.334742117,103.9179783,blue
152,BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346,blue
153,ORCHARD MRT STATION,1.302422248,103.8238685,red
154,LENTOR MRT STATION,1.38550658,103.8357438,brown
155,BRIGHT HILL MRT STATION,1.363846766,103.8338992,brown
156,SPRINGLEAF MRT STATION,1.397581061,103.8178569,brown
157,MARINA SOUTH PIER MRT STATION,1.271027036,103.8624475,red
158,CANBERRA MRT STATION,1.443076641,103.8297026,red
159,WOODLANDS SOUTH MRT STATION,1.427488114,103.7927299,brown
160,WOODLANDS NORTH MRT STATION,1.447782173,103.7851355,brown
161,GUL CIRCLE MRT STATION,1.319470901,103.6605305,green
162,HAVELOCK MRT STATION,1.28850524,103.8335858,brown
163,NAPIER MRT STATION,1.306782234,103.8189568,brown
164,SHENTON WAY MRT STATION,1.277716828,103.8503676,brown
165,GARDENS BY THE BAY MRT STATION,1.278487259,103.8674547,brown
166,GREAT WORLD MRT STATION,1.293316457,103.8339066,brown
167,MAXWELL MRT STATION,1.280533298,103.8438837,brown
168,ORCHARD BOULEVARD MRT STATION,1.303623073,103.8236504,brown
169,TELOK BLANGAH MRT STATION,1.270706478,103.8097616,yellow
170,TECK WHYE LRT STATION,1.376684679,103.7537122,grey
171,TANJONG PAGAR MRT STATION,1.276568292,103.8460067,green
172,TANAH MERAH MRT STATION,1.327310982,103.9464517,green
173,TAN KAH KEE MRT STATION,1.326392241,103.8065482,blue
174,UPPER THOMSON MRT STATION,1.354416434,103.8328985,brown
175,MAYFLOWER MRT STATION,1.371463188,103.8365678,brown
