,Unnamed: 0.1,Unnamed: 0,index,Latitude_x,Longitude_x,index_x,join_key,MRT Name,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration
115,115,115,24751,1.3440905883320242,103.70255473700657,115,A,BOON LAY MRT STATION,1.33861033900695,103.706084900902,142,0.7248029651527422,"[[103.70255473700657, 1.3440905883320242], [103.706084900902, 1.33861033900695]]",1132.2,374.1
116,116,116,24868,1.4104582805095245,103.89901090097152,116,A,NIBONG LRT STATION,1.41185447744238,103.900339452055,45,0.2142730387794446,"[[103.89901090097152, 1.4104582805095245], [103.900339452055, 1.41185447744238]]",240.3,121.3
117,117,117,25059,1.356867879838095,103.94653560074488,117,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.903436125055254,"[[103.94653560074487, 1.356867879838095], [103.9546344625, 1.35619148271544]]",1462.6,323.5
118,118,118,25388,1.2872510490477802,103.80745467480816,118,A,QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982,137,0.8260197732012234,"[[103.80745467480816, 1.2872510490477802], [103.806077155982, 1.29455085184931]]",2067.1,449.4
119,119,119,25603,1.313588946032592,103.87226653774702,119,A,KALLANG MRT STATION,1.31148890998818,103.871386541754,138,0.2531764175845949,"[[103.87226653774702, 1.313588946032592], [103.871386541754, 1.31148890998818]]",413.0,149.4
120,120,120,25853,1.3172689747485051,103.8070580447481,120,A,FARRER ROAD MRT STATION,1.31743915158967,103.807379214161,174,0.0404076044157388,"[[103.8070580447481, 1.3172689747485051], [103.807379214161, 1.31743915158967]]",39.4,23.6
121,121,121,25915,1.356948580106044,103.95260944585569,121,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.2403351855685666,"[[103.95260944585569, 1.356948580106044], [103.9546344625, 1.35619148271544]]",496.1,167.8
122,122,122,26182,1.3877880612070277,103.77113132592812,122,A,SEGAR LRT STATION,1.38778508663361,103.769599685249,75,0.1702610378804102,"[[103.77113132592812, 1.3877880612070277], [103.769599685249, 1.38778508663361]]",397.4,107.0
123,123,123,26334,1.435566123626416,103.7984696563486,123,A,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771,12,0.6248287548007837,"[[103.7984696563486, 1.435566123626416], [103.800990519771, 1.44058856161847]]",1049.5,218.8
124,124,124,26584,1.3412897099140313,103.73776486083258,124,A,CHINESE GARDEN MRT STATION,1.34224494823931,103.732766601621,49,0.5656902100805188,"[[103.73776486083258, 1.3412897099140313], [103.732766601621, 1.34224494823931]]",1310.2,378.5
