,PLANNING_A,PLANNING_1,geometry,within
1213,,JURONG WEST,"LINESTRING (103.72075026587744 1.3509851720224066, 103.72068640901426 1.3509782515740556, 103.72040352468129 1.3509405589941628, 103.72011427931491 1.3509056162504545, 103.7198342372832 1.3508651591019722, 103.71955170977874 1.3508260655835105, 103.71936348382486 1.350801921981934, 103.71935321561661 1.3507900544508618)",HONG KAH
1214,,JURONG WEST,"LINESTRING (103.72453574270753 1.3525821318986901, 103.7242124383246 1.3526794529523953, 103.7239998955332 1.3527294853345837)",HONG KAH
1215,,BUKIT PANJANG,"LINESTRING (103.77434714998344 1.3720280095802995, 103.77426340383047 1.372185226623625, 103.77419737104437 1.3723119010259859)",DAIRY FARM
1216,,BUKIT PANJANG,"LINESTRING (103.77506624083767 1.3701796713795205, 103.77505741027547 1.3701926885761295)",DAIRY FARM
1217,,BUKIT PANJANG,"LINESTRING (103.77507424399015 1.3702338682900461, 103.77505954440063 1.370191805064923)",DAIRY FARM
1218,,TAMPINES,"LINESTRING (103.93818024113435 1.357790170937448, 103.93817746109647 1.3580640772452137, 103.93815002739186 1.3582603224686127, 103.93814959343443 1.3583448840317105)",TAMPINES EAST
1219,,TAMPINES,"LINESTRING (103.93980105483875 1.358086440356691, 103.9398010548851 1.3580874993655212, 103.93980105624627 1.3581186049241614, 103.9397970724469 1.3581490902665505, 103.93979218443418 1.3581736936733468, 103.93978210825392 1.35820158466886, 103.93976359018704 1.3582323808518055, 103.93974637206371 1.3582568021236014, 103.93972965608059 1.3582776330527264, 103.93965685848428 1.3583509068470627, 103.93958790652007 1.3584191458815718)",TAMPINES EAST
1220,,JURONG EAST,"LINESTRING (103.73389795214321 1.3451726227489, 103.73384252606884 1.3450223569287436, 103.73378093878104 1.3448448595774143, 103.73375191327537 1.344761795348166, 103.73374347922001 1.3446995666812513, 103.73374422883029 1.3446721771711152, 103.7337428068765 1.3446385013438986, 103.73374276827612 1.3446375716570405)",BOON LAY
1221,,ANG MO KIO,"LINESTRING (103.83715764987156 1.3664609950458415, 103.83719156742447 1.3665634033970269)",SHANGRI-LA
1222,,ANG MO KIO,"LINESTRING (103.83719156742447 1.3665634033970269, 103.83726268501411 1.3667693207036422, 103.83732778488456 1.366967530120832)",SHANGRI-LA
1223,,ANG MO KIO,"LINESTRING (103.83738923653596 1.367142995684188, 103.83747000665461 1.3673852005847686)",SHANGRI-LA
1224,,ANG MO KIO,"LINESTRING (103.8375001070892 1.3674751657888904, 103.83756137814042 1.367643093470841, 103.83760131251019 1.3677234778206033, 103.83767625969185 1.3678286389748624, 103.83783928201775 1.3679530701563465, 103.8379944012809 1.3679951173718727)",SHANGRI-LA
1225,,ANG MO KIO,"LINESTRING (103.8379944012809 1.3679951173718727, 103.8380477089577 1.3680108812411604, 103.83821839046834 1.3680092286240269)",SHANGRI-LA
1226,,PASIR RIS,"LINESTRING (103.96118932915027 1.366793513106677, 103.96128859930236 1.366692898413708, 103.9612894061134 1.3666909693662097)",PASIR RIS DRIVE
1227,,PASIR RIS,"LINESTRING (103.94264059384908 1.374112972083623, 103.9427684239749 1.3740627794964289)",PASIR RIS TOWN
1228,,PASIR RIS,"LINESTRING (103.95996573167203 1.3640819525893622, 103.96020851603018 1.3638914711142263, 103.96023739856201 1.3638729202108584, 103.96027152248229 1.3638553972887102, 103.96030606178991 1.3638426529934031, 103.96031809880202 1.3638392772750096)",PASIR RIS DRIVE
1229,,PASIR RIS,"LINESTRING (103.95453010484931 1.369422863369164, 103.95452600646809 1.3694226302522268, 103.95450866742638 1.3694172556050666, 103.95449629226195 1.369415595825437, 103.95448337896146 1.3694160522808025, 103.95446932372204 1.3694193231695186, 103.95445282706817 1.3694225010329704, 103.95443596637753 1.3694233565125582, 103.95442025754612 1.3694221156217317, 103.95440532767898 1.3694189945220971, 103.95440122835744 1.369417929391694)",PASIR RIS DRIVE
1230,,PASIR RIS,"LINESTRING (103.95918785267968 1.3646820930963224, 103.95944772403585 1.364486601526625)",PASIR RIS DRIVE
1231,,ANG MO KIO,"LINESTRING (103.8389102589203 1.36971603473562, 103.83907842274154 1.369708036138164, 103.83923021818045 1.3696900533877476)",SHANGRI-LA
1232,,BUKIT PANJANG,"LINESTRING (103.76616580925857 1.3834103877553199, 103.76646706775787 1.3827502326181151, 103.76660849045275 1.3826345621907794, 103.76682566898897 1.3824961455292837, 103.76694546641347 1.382418071577521)",place
1233,,ANG MO KIO,"LINESTRING (103.84355649948183 1.3691642187474369, 103.843556885867 1.3691642259806975, 103.84374823536398 1.369139376839039, 103.84380471403308 1.3691266214377062, 103.84383522580583 1.3691098299718816, 103.84385428265738 1.3691046234626643, 103.84388213651532 1.369100663128344)",SHANGRI-LA
1234,,BUKIT PANJANG,"LINESTRING (103.76914729302378 1.3821122568232855, 103.76835738536616 1.3821332046887187, 103.76790192460277 1.3821466083400056)",FAJAR
1235,,ANG MO KIO,"LINESTRING (103.84290428999161 1.3645356162525268, 103.84287907616863 1.3645370868497262, 103.84282540109717 1.364540218877057, 103.84275666407679 1.3645059609243886, 103.84272461751239 1.3645002798338621, 103.84252750222515 1.364516511226426, 103.84237094920175 1.3645303956243808, 103.8421238448002 1.364559637357207)",SHANGRI-LA
1236,,ANG MO KIO,"LINESTRING (103.84970915932122 1.36882195849837, 103.84969105754647 1.3688096963477265, 103.84966318120757 1.3688091828600017, 103.84960627665131 1.3688212366160686, 103.84957432437932 1.36881780205859, 103.84928958953427 1.3687433386288819, 103.84914120665482 1.3687080757420602, 103.84890431369382 1.3686647112264207, 103.84864159502898 1.3686347260180476, 103.84854215743765 1.3686266823345055)",TOWNSVILLE
1237,,ANG MO KIO,"LINESTRING (103.83886000458159 1.3697174935923582, 103.8387093547696 1.3697149915612228, 103.83850620955202 1.3696987360631006)",SHANGRI-LA
1238,,ANG MO KIO,"LINESTRING (103.83965139526619 1.3652649001188562, 103.8395184656396 1.3653149932061464)",SHANGRI-LA
1239,,BUKIT PANJANG,"LINESTRING (103.77229220674721 1.381079341690364, 103.7723618691043 1.3809929948447763)",BANGKIT
1240,,BUKIT PANJANG,"LINESTRING (103.772421485957 1.3793660081129488, 103.77241469654096 1.3794639586660926)",BANGKIT
1241,,ANG MO KIO,"LINESTRING (103.83972231024042 1.3652405191726962, 103.83973829755831 1.365234651614205, 103.83977800248135 1.365185900844606, 103.83979894000558 1.3651771347847221, 103.8398127321296 1.3651749597511709, 103.83982998286533 1.3651806409209688, 103.83984603221917 1.3651879210100244, 103.83985384170214 1.365196455474786, 103.83986243384986 1.365209227788563, 103.8398678720213 1.3652218382297272, 103.83986963412875 1.3652271486521632, 103.83987744275392 1.365250685616486)",SHANGRI-LA
1242,,ANG MO KIO,"LINESTRING (103.84416006294538 1.3643973227395436, 103.84428693892806 1.3643823160445963)",TOWNSVILLE
1243,,ANG MO KIO,"LINESTRING (103.84281630811391 1.3692562137430357, 103.84281947736926 1.3692558302799587, 103.8428643572868 1.3692389926466852, 103.84287151978594 1.3692381443243185, 103.84293205287274 1.369241020863986, 103.84310034867492 1.3692179896392507)",SHANGRI-LA
1244,,YISHUN,"LINESTRING (103.83964406885434 1.4320629316189994, 103.83964209194231 1.4320610749655986, 103.83950841675315 1.431935565010589, 103.83940293682141 1.4318328431316747, 103.83938505198435 1.4317866500849608, 103.8393423857254 1.4317408911982215)",NORTHLAND
1245,,YISHUN,"LINESTRING (103.8369142625819 1.4153677311882877, 103.83688127003514 1.41536495574641, 103.83686502358292 1.415372688987354, 103.83654688784748 1.4155335486658986, 103.83652809479965 1.4155443097184723, 103.83651098842275 1.4155712290389775)",YISHUN SOUTH
1246,,PUNGGOL,"LINESTRING (103.9065854798691 1.4029471475715538, 103.90658854648518 1.4029392813230501, 103.90659890468255 1.4029181559745942, 103.90662513381734 1.4028739616271366, 103.90665204640607 1.4028468741938365, 103.90669549998873 1.4028164482335879, 103.90708346218032 1.4025386417881378, 103.90718673653042 1.4024630898113792)",SZ5
1247,,YISHUN,"LINESTRING (103.83188230300983 1.4242763473782125, 103.83188322675989 1.4242788271445177, 103.83200915783699 1.4245734988120544, 103.83213742707015 1.424888383005464, 103.83216457888358 1.424929726013406, 103.8321894797173 1.4249901782282832, 103.83218728354557 1.4250195971835589, 103.83219159227667 1.425048708658383, 103.83222719707508 1.4252300824653683, 103.83223011385127 1.4253384433442857)",YISHUN WEST
1248,,PUNGGOL,"LINESTRING (103.91426416668115 1.3997166787807396, 103.9144512966933 1.3999688430858952)",SZ5
1249,,JURONG WEST,"LINESTRING (103.72421051553304 1.3383797140748173, 103.72422778826305 1.3383443415986447, 103.72422217349258 1.338316925586769, 103.72419976392432 1.3382661699303082, 103.72415790978746 1.3382310823940196)",TAMAN JURONG
1250,,SEMBAWANG,"LINESTRING (103.8222860079867 1.4499951338461043, 103.82217132225463 1.4499893525876204)",ADMIRALTY
1251,,YISHUN,"LINESTRING (103.8365527116671 1.430492797013029, 103.83671556914304 1.4304871463121802)",NORTHLAND
1252,,YISHUN,"LINESTRING (103.8368667520512 1.4174722051103297, 103.83713568536196 1.4175794902776206)",YISHUN SOUTH
1253,,PASIR RIS,"LINESTRING (103.94608211021564 1.3727781420985563, 103.94609702711749 1.3727727215462424, 103.9461553857652 1.372718182099867, 103.94618182928231 1.3727077255093807)",PASIR RIS TOWN
1254,,PASIR RIS,"LINESTRING (103.96387240462751 1.3640530317480852, 103.96370348507304 1.364204159848904)",PASIR RIS DRIVE
1255,,PASIR RIS,"LINESTRING (103.96270129594438 1.3652028551220914, 103.96264394624535 1.3652607789954327, 103.9626194491031 1.3652864452104663, 103.96259512678107 1.3653214516666445, 103.96259460475414 1.3653222032197188)",PASIR RIS DRIVE
1256,,PASIR RIS,"LINESTRING (103.96089767806659 1.3739516319487197, 103.96084257666197 1.3737272473210402, 103.96081611526313 1.3736194451731032)",PASIR RIS DRIVE
1257,,PASIR RIS,"LINESTRING (103.9410322449841 1.3759662184913055, 103.94107878904104 1.3763638845213455)",ELIAS
1258,,PASIR RIS,"LINESTRING (103.94584966749989 1.3728400214598444, 103.94589015113088 1.3728478992530628, 103.94604990602518 1.3727898451728104)",PASIR RIS TOWN
1259,,PASIR RIS,"LINESTRING (103.93473126935288 1.380985386121966, 103.93466536098794 1.3808622391573073)",PASIR RIS WEST
1260,,PASIR RIS,"LINESTRING (103.95692645744568 1.3705595044973937, 103.95692642491872 1.3705560227047462, 103.95692579153196 1.3704879378319539, 103.95692567135961 1.3704750090766582, 103.95692559365646 1.3704666934705638)",PASIR RIS DRIVE
1261,,PASIR RIS,"LINESTRING (103.95682303235468 1.3691757968509313, 103.95683403072707 1.3691913983371555, 103.95684155815736 1.3692114169081444, 103.95685813726134 1.3693094217778436, 103.95687422773408 1.3694462012008861, 103.95688741462934 1.3695945466619637)",PASIR RIS DRIVE
1262,,PASIR RIS,"LINESTRING (103.93858375200017 1.3769505337249242, 103.9380809350265 1.3773273822475152, 103.93804958398862 1.3773508798814562)",ELIAS
1263,,PASIR RIS,"LINESTRING (103.96091879302855 1.3740433313123097, 103.96090292504988 1.3739730026452617, 103.96090064758229 1.373963726726571)",PASIR RIS DRIVE
1264,,PASIR RIS,"LINESTRING (103.96100494402519 1.3669111334533908, 103.96104634984265 1.3668742513534808, 103.96105800273614 1.3668624759359724, 103.96110929807628 1.3668746269117147, 103.96115884420337 1.3668244104601892)",PASIR RIS DRIVE
1265,,PASIR RIS,"LINESTRING (103.9566433897783 1.3718821985939194, 103.95669248190654 1.3717712190532911, 103.95672527695767 1.3717357193281852)",PASIR RIS DRIVE
1266,,PASIR RIS,"LINESTRING (103.94778266182627 1.3756181658264912, 103.94789667975577 1.37556349251663, 103.94794900867437 1.3755395370449237)",PASIR RIS TOWN
1267,,PASIR RIS,"LINESTRING (103.94344213362614 1.3781058576263692, 103.94345050893534 1.3780997952946312, 103.9436632755601 1.3779457995776732)",ELIAS
1268,,TOA PAYOH,"LINESTRING (103.86657262805699 1.335211402367132, 103.86663302977483 1.3351286928990491, 103.86665904710739 1.3350991107849988)",POTONG PASIR
1269,,SENGKANG,"LINESTRING (103.88464635355933 1.3857569382113737, 103.88462162774188 1.3857289911956432)",TRAFALGAR
1270,,SENGKANG,"LINESTRING (103.88464573296243 1.3979112922624197, 103.88691703940023 1.3976479212599726)",place
1271,,SENGKANG,"LINESTRING (103.88862637943554 1.3823950594160297, 103.88862371774707 1.3824291331920822, 103.88856209385095 1.3824444482269074, 103.88833309821185 1.382632049370078, 103.88815013125826 1.3827859582551056, 103.88796640158917 1.382909239960771, 103.88791809220938 1.3829398691671053, 103.88770469306252 1.3831286175290634, 103.88745439640753 1.3833487608040689, 103.88720600201563 1.3835700534568094, 103.88698956023168 1.383761098911045, 103.88689674603275 1.3838648532523885, 103.88675638152542 1.3839911960584048, 103.88657645629192 1.3841160086626612, 103.88629268513844 1.3843514670731243, 103.88620481504297 1.3844234437428609, 103.88585067143202 1.3847205424035471, 103.88550223268041 1.3850126632689534, 103.88514466532784 1.3853101435460677, 103.88485709068874 1.3855674241742455)",TRAFALGAR
1272,,JURONG WEST,"LINESTRING (103.72110750438696 1.3375616638543752, 103.72110916874223 1.3375566411000688, 103.72115997683395 1.3374753050485426)",TAMAN JURONG
1273,,JURONG WEST,"LINESTRING (103.72131186521517 1.3356322152210578, 103.72145170668018 1.3356303505045242)",TAMAN JURONG
1274,,JURONG WEST,"LINESTRING (103.7249761975321 1.3359848559908467, 103.72499243930925 1.3360378994052298, 103.7249967613657 1.3362635119173991, 103.7249848349547 1.3365886696465907, 103.7249756210794 1.3366929214806036, 103.72495059353561 1.3367145138423409)",TAMAN JURONG
1275,,SENGKANG,"LINESTRING (103.88376872495316 1.3908767098355503, 103.88389320181982 1.3907717873923495, 103.88398164342856 1.390728715159619)",BUANGKOK
1276,,SENGKANG,"LINESTRING (103.88242488121807 1.3916695977007476, 103.88315523724145 1.3912283495340871)",BUANGKOK
1277,,PASIR RIS,"LINESTRING (103.96259460475414 1.3653222032197188, 103.96259837400322 1.365334590966558, 103.96260630704134 1.365360661485256, 103.9626233468194 1.3653824113738118, 103.96264428903125 1.3654034040999854, 103.96375275777042 1.3665520852086699)",PASIR RIS DRIVE
1278,,DOWNTOWN CORE,"LINESTRING (103.85049988730286 1.2849946478531424, 103.85046727700795 1.2846510292146893)",RAFFLES PLACE
1279,,DOWNTOWN CORE,"LINESTRING (103.84963203168815 1.2839788845094926, 103.84984188849432 1.2837370397068877, 103.85009635290332 1.2833056885495246)",RAFFLES PLACE
1280,,DOWNTOWN CORE,"LINESTRING (103.85045982594127 1.2845944847557005, 103.85039448179057 1.2838329430476096)",RAFFLES PLACE
1281,,TOA PAYOH,"LINESTRING (103.8562064169351 1.3344772814593764, 103.8561675666306 1.3347390519296054, 103.85614712106425 1.334859170714776, 103.85609957467187 1.3350410234801697, 103.85607294760167 1.3351262076268102, 103.85603633599078 1.335236755671981, 103.85599753196763 1.3353551111154003, 103.85594979955866 1.3354391876098481, 103.8559113572981 1.3355192992836489)",BOON TECK
1282,,TOA PAYOH,"LINESTRING (103.8559113572981 1.3355192992836489, 103.85587449916395 1.3355963008327862)",BOON TECK
1283,,TOA PAYOH,"LINESTRING (103.85551480434255 1.3360553143145095, 103.85528715122234 1.3362701635267487, 103.85526932219315 1.3362879308314393)",BOON TECK
1284,,TOA PAYOH,"LINESTRING (103.85518478944446 1.3363884182391477, 103.85499725826661 1.336556107171112)",BOON TECK
1285,,TOA PAYOH,"LINESTRING (103.85426061599307 1.337206258505346, 103.8542083346648 1.3372521328410787)",BOON TECK
1286,,TOA PAYOH,"LINESTRING (103.8546901113865 1.3318707367257019, 103.85479190563142 1.3319157849451324, 103.8550372218464 1.3320689794174427, 103.85508685738702 1.332089760368942, 103.8554870174083 1.3324469038879783, 103.85558820225934 1.3325686485188972, 103.85568634383327 1.3327041756880524, 103.85576334027576 1.3328058861452976)",BOON TECK
1287,,TOA PAYOH,"LINESTRING (103.85584254113652 1.332935382274333, 103.8559347414976 1.3330726657631398, 103.85596897707917 1.333134877584358, 103.85604220390591 1.3333133803687733, 103.8560526652867 1.3333550154039773, 103.85609641160865 1.333559359770709, 103.85614301267172 1.333863245699639, 103.85616193753494 1.333999028615327, 103.85610023423966 1.334066703689234)",BOON TECK
1288,,TOA PAYOH,"LINESTRING (103.85167050524151 1.332681525796981, 103.85166327867671 1.332752735513258)",BOON TECK
1289,,TOA PAYOH,"LINESTRING (103.85539492793728 1.333960728584651, 103.85604948028993 1.3340832703098666, 103.85608751861076 1.334050727304642, 103.85610023423966 1.334066703689234, 103.85611701678538 1.3340877896951848)",BOON TECK
1290,,TOA PAYOH,"LINESTRING (103.8516461618674 1.3328469161622314, 103.8515785667541 1.3332964925464903, 103.85162269272972 1.3333699989646877, 103.85159546125514 1.3333959589514766)",BOON TECK
1291,,DOWNTOWN CORE,"LINESTRING (103.84865981859474 1.2844640135887733, 103.84863295235732 1.284479866362767, 103.84849775586125 1.2845573757658684, 103.84842309252362 1.2845417279850977)",CHINA SQUARE
1292,,DOWNTOWN CORE,"LINESTRING (103.86104123493153 1.2739497792762216, 103.8613857868425 1.2737259868174948)",STRAITS VIEW
1293,,DOWNTOWN CORE,"LINESTRING (103.84796782492162 1.2848444016797687, 103.84767303833934 1.2850089597871315, 103.84753561519805 1.2850852771989867)",CHINA SQUARE
1294,,DOWNTOWN CORE,"LINESTRING (103.8467829667786 1.2764517679685767, 103.84679032229782 1.276470515415162, 103.84681461735661 1.276551594317529, 103.84682612517871 1.276601784702469, 103.8468363553625 1.2766674198386045, 103.84684274869375 1.2767137504208652, 103.84684528356203 1.276732116250729, 103.84684914202523 1.2767600800987278, 103.84684658501784 1.276803836905659, 103.84683635631595 1.276850167575751, 103.84682263582235 1.2768817317934553, 103.84681845498032 1.2768913497366912, 103.84679927498594 1.276924811340739, 103.84678563708624 1.2769427829527173)",DT - TANJONG PAGAR
1295,,ANG MO KIO,"LINESTRING (103.83888415369717 1.3677801851520703, 103.83896952312288 1.367747080696711)",SHANGRI-LA
1296,,ANG MO KIO,"LINESTRING (103.83904060980286 1.3677224085652318, 103.83910023973357 1.3677036537149752)",SHANGRI-LA
1297,,ANG MO KIO,"LINESTRING (103.84040714943832 1.3672524239609294, 103.84062379163751 1.3671905991565179)",SHANGRI-LA
1298,,SEMBAWANG,"LINESTRING (103.81824171515046 1.4440595193712682, 103.81824193351005 1.4440595067116235)",SEMBAWANG CENTRAL
1299,,SEMBAWANG,"LINESTRING (103.81824193351005 1.4440595067116235, 103.8182421500724 1.4440594985737936)",SEMBAWANG CENTRAL
1300,,SEMBAWANG,"LINESTRING (103.81756936528136 1.4506136361997173, 103.81759397983932 1.4506033790799193, 103.81761892777908 1.450592982690164, 103.81766996238339 1.4505434519548936, 103.81770155939788 1.4504857139835245, 103.81774779764052 1.4503812304617274, 103.8178297882023 1.450191956764977, 103.8178803335368 1.4500714407113255, 103.81795372045059 1.4498111581266444, 103.81802560677315 1.4496713810782813, 103.81809911234194 1.4495351482394063, 103.81815389165219 1.4494450143035826, 103.81817618364329 1.4493848842200878, 103.81818355054254 1.4493593531798905, 103.8181898455576 1.4493117294332072, 103.8181814548424 1.4492486744309376, 103.81817288950668 1.449229595917992, 103.8181686427636 1.4492229587646637, 103.81815353205043 1.4491993384933561)",SEMBAWANG CENTRAL
1301,,SEMBAWANG,"LINESTRING (103.81437955896594 1.4479038632508268, 103.81439249804713 1.447887414793945, 103.81440514693745 1.4478640696575147, 103.81451367319478 1.447256939607311, 103.8147067683251 1.446219468808657, 103.81472131563243 1.44612401334603, 103.81474371574895 1.4460347664043636, 103.81478086925635 1.4459225098594677, 103.81482070583434 1.4458279743415179, 103.81486798272637 1.4457440127034207, 103.81491983525659 1.4456633022888914, 103.81497455699431 1.4455846357582418, 103.81504196421493 1.4455108990152934, 103.81512138480085 1.445437644393034, 103.81522786677903 1.4453541019441762, 103.81530988144512 1.4453016920137225, 103.8153946709345 1.4452553060685727, 103.8155739025983 1.4451698487377589, 103.81576487536276 1.4450820826434634, 103.81597492005653 1.444984203180669, 103.81608749160603 1.4449248533694052, 103.81609601574685 1.4449208579558441, 103.81609613615954 1.4449208018862272)",SEMBAWANG CENTRAL
1302,,TAMPINES,"LINESTRING (103.9562533442171 1.346610077304758, 103.95664895803759 1.3465653627058911)",SIMEI
1303,,JURONG WEST,"LINESTRING (103.69736396058626 1.348290809420301, 103.69976628153708 1.3480199204224659, 103.69980012070562 1.3479978594751136, 103.69981714063127 1.3479592893757015)",YUNNAN
1304,,TAMPINES,"LINESTRING (103.95278905439322 1.353871485314338, 103.95333343146284 1.3538727885805366)",TAMPINES EAST
1305,,TAMPINES,"LINESTRING (103.93607722994564 1.3506354802886715, 103.9360068716841 1.3504648218486457)",TAMPINES WEST
1306,,TAMPINES,"LINESTRING (103.95609388505524 1.3536888550574158, 103.95639117798768 1.3536888398939986)",TAMPINES EAST
1307,,BUKIT PANJANG,"LINESTRING (103.77045554487339 1.3750101776054446, 103.76943251225889 1.375640789291274)",BUKIT PANJANG
1308,,TAMPINES,"LINESTRING (103.93386581018373 1.3514718251828648, 103.93365326821078 1.3509542118959639)",TAMPINES WEST
1309,,TAMPINES,"LINESTRING (103.95165402019082 1.3417760725363834, 103.95111817666626 1.3424317379086508, 103.95106104945657 1.3425911092582719, 103.9510432735195 1.3427465013140614, 103.95110772010833 1.342900424317178, 103.95117851202835 1.3429730809897644, 103.95153053824005 1.343285404484191)",SIMEI
1310,,TAMPINES,"LINESTRING (103.95340742435694 1.3538701251643759, 103.95493221010453 1.3538673889643262, 103.95499827570542 1.3538793539606648, 103.9550550939956 1.3539232352741788)",TAMPINES EAST
1311,,BUKIT PANJANG,"LINESTRING (103.76628508507463 1.3775438804457127, 103.76632652653942 1.3775369406280267, 103.76646037762596 1.3774507052022438, 103.76689426905027 1.377177777761295, 103.76700939774538 1.377113051161476, 103.76711747669547 1.3770641995577366, 103.7672135277621 1.3770330252089766, 103.76727146379345 1.376979588882904)",BUKIT PANJANG
1312,,TAMPINES,"LINESTRING (103.94375254111287 1.3462931458502425, 103.94375257794154 1.3462928727309977, 103.94377768712833 1.346109285943272, 103.94388493960561 1.3458779477684428)",TAMPINES EAST
1313,,TAMPINES,"LINESTRING (103.94132355343598 1.35406728925608, 103.94132389824885 1.3544477130653432, 103.94132626825557 1.354540108087594, 103.94132341896172 1.3546224206031303, 103.94131756198766 1.3547004556175317, 103.94129669022014 1.3547829525267991, 103.94125985285886 1.354887531073473, 103.94123275251394 1.3549557348077275, 103.94120480788541 1.355011927737404, 103.94118058104236 1.3550575340295, 103.94114504332909 1.3551086936155283, 103.94110801297568 1.3551570253255238, 103.9410315631492 1.3552574157300639, 103.94097795899089 1.3553103034552911, 103.94092502928973 1.3553549967180785, 103.94089157353048 1.3553856099896369, 103.9408466468873 1.3554202518051386, 103.94080154838124 1.3554495416085386, 103.94074790279724 1.3554801648234498, 103.94069254548546 1.355511629171036, 103.94064130599216 1.3555363594484313, 103.9405816541026 1.3555600953006541, 103.94050924871648 1.3555796571808536, 103.94049074398674 1.3555861856956617, 103.94041814535805 1.355604616223956, 103.94036023349945 1.3556173666985387, 103.94031266370718 1.3556210224395868)",TAMPINES WEST
1314,,JURONG EAST,"LINESTRING (103.74143593544217 1.3434822038738807, 103.74133173948296 1.3435275899226415, 103.74105391459302 1.3435323797396859)",YUHUA
1315,,JURONG EAST,"LINESTRING (103.74162960774926 1.3424832776954516, 103.74167510931983 1.3425708281130015, 103.74169783408524 1.3426377373866434, 103.74172409617734 1.3427368981985262)",YUHUA
1316,,JURONG EAST,"LINESTRING (103.74152405560368 1.341524789662216, 103.74150687721723 1.341541915846319)",YUHUA
1317,,JURONG EAST,"LINESTRING (103.7385817021952 1.3420018450670448, 103.73853988209106 1.3420323530351441, 103.73849116007305 1.3420883176542442)",YUHUA
1318,,JURONG WEST,"LINESTRING (103.72341758554066 1.3470115420870779, 103.72344565993203 1.3469564034577122, 103.72352007464008 1.3468662608546578, 103.72358487543052 1.3468010474779393, 103.7236891486371 1.3467253588432817, 103.7237058712672 1.3467158411817655)",HONG KAH
1319,,BISHAN,"LINESTRING (103.84959883927955 1.3562415029481076, 103.84947678221376 1.3560380091295947)",MARYMOUNT
1320,,YISHUN,"LINESTRING (103.85464280709874 1.427530853223284, 103.85462866997145 1.4274793272288024, 103.85461005607186 1.4274292627277618, 103.8545871109758 1.4273810540212741, 103.85456001530395 1.4273350791316226, 103.8545289811275 1.4272916988978186, 103.85429305361286 1.4269555888473135, 103.85395914518047 1.4264822641560004, 103.8537583163806 1.4261977612486416, 103.85361413284232 1.425992288364223, 103.85344290319915 1.4257497892452022, 103.8533015548452 1.4255526843928212, 103.8530936477886 1.4252430076133822, 103.8529923564052 1.4251997165902357)",YISHUN EAST
1321,,YISHUN,"LINESTRING (103.84974290158198 1.4254260610473364, 103.84977163676633 1.425429835655709, 103.84981025443753 1.4254023608051432, 103.84984428038946 1.4253866653258196, 103.84987756325548 1.425377927122239, 103.84990276155136 1.4253772016401651, 103.85007321808965 1.4253817674370186, 103.85015165163861 1.425381124763687, 103.85025962809782 1.4253694802834913, 103.85036122007664 1.425359584885374, 103.8506259487689 1.425368092963979, 103.85096600103029 1.4253817806287794, 103.8511369724932 1.4253902839424692, 103.85118121917608 1.4253955560388774, 103.85129449950304 1.4254337563844683, 103.85140413006737 1.4255120056002584, 103.85155650499259 1.4257239411464593, 103.85180226883202 1.4260553622844787, 103.85183710940426 1.4261023464156792, 103.851933892865 1.4262940888443507, 103.85197861602629 1.4265482119953334, 103.85197386185918 1.4266949703828242)",YISHUN EAST
1322,,PUNGGOL,"LINESTRING (103.90421015954124 1.4005487166519417, 103.90435766576849 1.4004765141190747, 103.90453838302354 1.400416747367154, 103.9047971040448 1.4002891473415509, 103.90483975854862 1.4002810971989015, 103.90487414798552 1.4002757721560737, 103.90490935169824 1.4002757710747387, 103.90494201982878 1.4002828150612696)",SZ3
1323,,JURONG EAST,"LINESTRING (103.7391329797489 1.3357632746023909, 103.73917924354619 1.3358390059617113, 103.73920879297484 1.3358758897499152, 103.73933584118143 1.3360313239496455, 103.73958626914632 1.3362865620902802, 103.73960244946426 1.3363101231848513, 103.73963631107178 1.336347196146099)",JURONG REGIONAL CENTRE
1324,,BUKIT PANJANG,"LINESTRING (103.76898027935526 1.3759278600733187, 103.76737296187589 1.3769202726918208)",BUKIT PANJANG
1325,,TAMPINES,"LINESTRING (103.96083297812982 1.3536792017972565, 103.96048931765569 1.3536794252458901)",TAMPINES EAST
1326,,TAMPINES,"LINESTRING (103.93388785100618 1.3515371445972988, 103.93420401665534 1.3523052439900365, 103.93424739134582 1.3523966579018079)",TAMPINES WEST
1327,,BEDOK,"LINESTRING (103.92305442537915 1.3378692218467458, 103.92319383552797 1.337914585911861, 103.92320463901272 1.3379181016785968, 103.92333604108651 1.3379597490967754, 103.92344370477896 1.3379933765860785, 103.92354458050418 1.3380197151525992, 103.92361313388321 1.3380368928064093, 103.92375577323206 1.3380758782433946, 103.92412117647166 1.3381579772405126, 103.92419871430987 1.3381446277567426)",BEDOK RESERVOIR
1328,,BEDOK,"LINESTRING (103.92695828914727 1.3331941225776063, 103.92724691479637 1.3332804809283634)",BEDOK NORTH
1329,,HOUGANG,"LINESTRING (103.89263756670202 1.3749714434815419, 103.89264545063403 1.375657470118064)",TRAFALGAR
1330,,JURONG WEST,"LINESTRING (103.72268437487075 1.3372921652428782, 103.72196732923037 1.3368357133598563)",TAMAN JURONG
1331,,TAMPINES,"LINESTRING (103.94103398334134 1.3590438604764952, 103.94105358754727 1.3590487919912608)",TAMPINES EAST
