,PLANNING_A,PLANNING_1,geometry,within
70,,PASIR RIS,"LINESTRING (103.94780269212636 1.3720174828756286, 103.94783139615716 1.3720013313887676, 103.94792959342661 1.3719407253299711, 103.94805871280448 1.371853857803337, 103.94820333873353 1.371747118869798, 103.9482434308234 1.3717413877967555, 103.9483276630227 1.3716727399027056, 103.94836608482446 1.3716137763265086, 103.94838287036531 1.3716005745360282, 103.9487258429651 1.3712903805980343)",PASIR RIS TOWN
71,,PASIR RIS,"LINESTRING (103.95130787467977 1.3739467387327582, 103.95130492173548 1.3741249479979636, 103.95130374888362 1.3741754521703857, 103.95129745995888 1.3746549987449788, 103.95130025506964 1.374684663498956, 103.95130669232013 1.3747007942896865, 103.9513159194096 1.3747124067475112, 103.95132261776611 1.3747208350712976)",PASIR RIS TOWN
72,,PASIR RIS,"LINESTRING (103.96087288334178 1.3670287663655567, 103.96092941852419 1.3669784075597138)",PASIR RIS DRIVE
73,,PASIR RIS,"LINESTRING (103.95687767980269 1.3699680876321352, 103.95687831447036 1.3699910656332837)",PASIR RIS DRIVE
74,,PASIR RIS,"LINESTRING (103.9589955269645 1.3648516629763936, 103.95900002951882 1.3648485499251797, 103.95902979716186 1.364795423414858, 103.95917659318599 1.3646905630404897)",PASIR RIS DRIVE
75,,PASIR RIS,"LINESTRING (103.94128362343554 1.3749375922374159, 103.94143599521928 1.3748234646836783)",ELIAS
76,,PASIR RIS,"LINESTRING (103.94114333571645 1.3769153592021273, 103.94120501578499 1.3774423402497002)",ELIAS
77,,PASIR RIS,"LINESTRING (103.95473520946497 1.3694255913338116, 103.95457893408295 1.369425643606969, 103.95454421330878 1.3694236666293491)",PASIR RIS DRIVE
78,,PASIR RIS,"LINESTRING (103.95101661978283 1.3698720834908849, 103.95086915301097 1.3699273265147462)",PASIR RIS TOWN
79,,PASIR RIS,"LINESTRING (103.94081700829605 1.375279778125619, 103.94084016123772 1.3752879633669943, 103.9408480364369 1.3752907484469887, 103.9408697588314 1.3752984282142002)",ELIAS
80,,PASIR RIS,"LINESTRING (103.936177166948 1.383638453450079, 103.9361480070806 1.3836120066342155, 103.93609219487809 1.3835918209784452, 103.93592894499508 1.383286351542073, 103.93582487124571 1.3830346547366708, 103.93578968386483 1.382968828606451)",PASIR RIS WEST
81,,PASIR RIS,"LINESTRING (103.95675528053633 1.371672604144545, 103.95679289636513 1.3715661406783144, 103.95679461507824 1.3715612778337531)",PASIR RIS DRIVE
82,,JURONG EAST,"LINESTRING (103.73397536136795 1.3395382862887228, 103.73395157178517 1.3395671381197836, 103.73397616026968 1.3396700511273683, 103.73400074848695 1.3397573322177938, 103.73403633704962 1.3398843451427962, 103.73408163313825 1.3400237337685412, 103.73414213806574 1.3401670931676881, 103.73419300994037 1.3402785995989226, 103.73421678263854 1.3403345924027184, 103.7342576714721 1.3404030281314232, 103.7342728860984 1.3404417915640463, 103.7342690798914 1.34048438329592, 103.73429950895847 1.3405442045392728, 103.73433992253702 1.340610726615144, 103.73437810237577 1.3406754055075074, 103.7343994969243 1.3407232616579643, 103.73440948191102 1.340740490181958)",JURONG LAKE
83,,JURONG WEST,"LINESTRING (103.72371526864504 1.3467105682675948, 103.72375191911107 1.3466905871255628, 103.72386383829846 1.3466519948861124, 103.72395891333062 1.3466278110932932)",HONG KAH
84,,JURONG WEST,"LINESTRING (103.72501386607634 1.3466078051549644, 103.72518859452009 1.3466118021062288, 103.72526433674977 1.346614150499309, 103.72533428639419 1.3466271013817703)",HONG KAH
85,,JURONG WEST,"LINESTRING (103.72545744343282 1.3489465054472447, 103.72544928675251 1.34885452143532, 103.72545978091354 1.3487351026000032, 103.72546607280239 1.348690537688879, 103.72548353319605 1.3486189418705712, 103.72555968474296 1.3484485542624394)",HONG KAH
86,,JURONG WEST,"LINESTRING (103.72202440907382 1.3509692401536624, 103.72227624288698 1.3509446051524272)",HONG KAH
87,,JURONG WEST,"LINESTRING (103.72462449693924 1.3503066397488241, 103.72468704965743 1.3502806168102113, 103.72494420358719 1.3501791290104677)",HONG KAH
88,,TAMPINES,"LINESTRING (103.94616481771057 1.3576567051232293, 103.9461689836367 1.3577187957516772, 103.94617866088822 1.357867694984151, 103.94618361973883 1.3580738080342603, 103.9461910479457 1.3581270981564968)",TAMPINES EAST
89,,YISHUN,"LINESTRING (103.83088393718684 1.435033562480643, 103.83072094560626 1.4349320981091394, 103.83063604639541 1.4348785949443092)",YISHUN WEST
90,,TAMPINES,"LINESTRING (103.9461608870255 1.357551896915509, 103.94616475558765 1.3576346911313553)",TAMPINES EAST
91,,TAMPINES,"LINESTRING (103.93898948477633 1.3556397514722611, 103.93890468827534 1.3556407771240666)",TAMPINES WEST
92,,BEDOK,"LINESTRING (103.92958224701353 1.333914538743572, 103.9299622081258 1.333995663231269)",BEDOK NORTH
93,,BEDOK,"LINESTRING (103.93085868603367 1.3341649615184072, 103.93134523177176 1.3342599137665723)",BEDOK NORTH
94,,YISHUN,"LINESTRING (103.83301917928844 1.434182077239783, 103.83306627195208 1.4341749978860636, 103.83311844437219 1.4341696883717965, 103.83317003180649 1.4341685081813418, 103.83322953676017 1.4341716743624535, 103.83328317029493 1.4341752927237876, 103.83333313846128 1.4341838290141409, 103.83334810006636 1.434186566523279, 103.83336306257009 1.4341901758390116)",YISHUN WEST
95,,TAMPINES,"LINESTRING (103.94229836170136 1.3515809260146472, 103.94231827651006 1.3515804693166096, 103.94234362245074 1.3515850234472573, 103.9424662797542 1.3515850179040878)",TAMPINES EAST
96,,PUNGGOL,"LINESTRING (103.8973330733914 1.4048855248949716, 103.89730776507676 1.4047965714989035, 103.89727270243984 1.404600848317287, 103.8972578307399 1.4045290920083364, 103.89718910383898 1.4043419738647247, 103.8971483920798 1.4041554391677078, 103.89712666352396 1.4040587117618042)",SZ3
97,,PUNGGOL,"LINESTRING (103.89701784165929 1.403530878489032, 103.89702073821702 1.403513419672943, 103.89702869827485 1.4034955085363545, 103.89703626566957 1.4034782458391024, 103.89705379287588 1.4034581540198892)",SZ3
98,,PUNGGOL,"LINESTRING (103.89711004223157 1.4039847208171388, 103.8970971909492 1.4039275111372311, 103.89703849306363 1.4036703913619344, 103.89703529658614 1.4036290810307972, 103.8970264121024 1.403588548608096, 103.8970166736925 1.403537919895004, 103.89701784165929 1.403530878489032)",SZ3
99,,JURONG WEST,"LINESTRING (103.72577547366173 1.3501778295123723, 103.72581265670298 1.3502262968760315, 103.72585497143884 1.3503768688401998, 103.7258723923715 1.3504264241767263)",HONG KAH
100,,JURONG WEST,"LINESTRING (103.7213402465988 1.3461990443089176, 103.72136118873988 1.346152988796083, 103.72144921509624 1.3459594628548253, 103.72147736607066 1.3458807149604932)",HONG KAH
101,,JURONG WEST,"LINESTRING (103.71985394812387 1.346131053000137, 103.72004231603415 1.3462259023288892, 103.72044398914052 1.3464654333970658, 103.72074868670343 1.3466533244063423, 103.72099368367577 1.3467693555689402)",HONG KAH
102,,JURONG WEST,"LINESTRING (103.72616394101588 1.3514415780848688, 103.72616247190398 1.3515637303076498, 103.7261286875767 1.3517115505296242)",HONG KAH
103,,JURONG WEST,"LINESTRING (103.72615515331681 1.351333672738675, 103.72616476259891 1.3513732905880473, 103.72616415294905 1.351423985524056)",HONG KAH
104,,JURONG WEST,"LINESTRING (103.7201398839332 1.3529599712575635, 103.71985619074027 1.3529210052148641)",HONG KAH
