Description,Latitude,Longitude,RackType,RackCount,ShelterIndicator
BUS STOP 11029,1.2902007694417077,103.80199792321791,Yellow Box,10,N
152096-2,1.2880069723272694,103.82119478168141,HDB_RACKS,5,N
BUS STOP 11139,1.2931933242547262,103.80731708038527,Yellow Box,10,N
152096-3,1.2882714234915598,103.82116658089306,HDB_RACKS,5,N
153095-1,1.287283451167588,103.8218630694946,HDB_RACKS,7,N
BUS STOP 11521,1.2886601899859331,103.80548332220032,Yellow Box,8,N
BUS STOP 11529,1.2890547969703987,103.80614706053406,Yellow Box,6,N
BUS STOP 11531,1.2908716328180876,103.80730023249205,Yellow Box,10,N
BUS STOP 14021,1.2713711254576014,103.82472688158813,Yellow Box,6,N
BUS STOP 14029,1.2724574173435104,103.82425365985317,Yellow Box,10,N
BUS STOP 14031,1.276253102380073,103.82303332191285,Yellow Box,10,N
BUS STOP 14039,1.276773171847428,103.82349099254826,Yellow Box,15,N
BUS STOP 14101,1.2682832310230516,103.82820470774769,Yellow Box,10,N
BUS STOP 14109,1.2681976909049653,103.82731216056101,Yellow Box,10,N
BUS STOP 14121,1.2659986837545767,103.81893355260748,Yellow Box,10,N
BUS STOP 14131,1.2673370548112513,103.81686375448301,Yellow Box,16,N
BUS STOP 14139,1.2684411488231695,103.81621853995362,Yellow Box,8,N
BUS STOP 14151,1.269706701793136,103.81286115567437,Yellow Box,16,N
BUS STOP 14169,1.2711577586661733,103.80944771264267,Yellow Box,10,N
BUS STOP 14191,1.2811801638065872,103.81225469728437,Yellow Box,9,N
BUS STOP 14201,1.281640877952165,103.80924759100692,Yellow Box,10,N
BUS STOP 14221,1.273662362529545,103.82891988783109,Yellow Box,10,N
BUS STOP 14231,1.2709156419101963,103.8265996590985,Yellow Box,10,N
BUS STOP 14239,1.2717170489673673,103.82705303166028,Yellow Box,20,N
BUS STOP 14271,1.2756320101729557,103.81919118365651,Yellow Box,10,N
BUS STOP 14291,1.2747192383211687,103.82125693513241,Yellow Box,10,N
BUS STOP 14341,1.275750933602819,103.81387615678682,Yellow Box,10,N
BUS STOP 14349,1.2757221808227415,103.81345218256783,Yellow Box,5,N
BUS STOP 14351,1.272672572819924,103.80991959755542,Yellow Box,10,N
BUS STOP 14369,1.281432622416852,103.80342337151622,Yellow Box,16,N
BUS STOP 14379,1.2724404988570268,103.82379158239836,Yellow Box,10,N
BUS STOP 14491,1.272766823360285,103.80793164080744,Yellow Box,15,N
BUS STOP 15041_B,1.2747156553493633,103.80180942824036,Yellow Box,6,N
BUS STOP 15051,1.277072198562178,103.80235933298499,Yellow Box,10,N
BUS STOP 15059,1.2769850415585358,103.80269723551038,Yellow Box,13,N
BUS STOP 15071,1.2813222178057664,103.78695306037764,Yellow Box,10,N
BUS STOP 15149,1.273370110711523,103.80053004728735,Yellow Box,16,N
BUS STOP 15151,1.2738966434532804,103.79823042550063,Yellow Box,20,N
BUS STOP 15191,1.2758261693475206,103.7927505481923,Yellow Box,13,N
BUS STOP 15201,1.2768850635236488,103.78957627451618,Yellow Box,10,N
BUS STOP 15229,1.2793289109873835,103.785733688354,Yellow Box,10,N
BUS STOP 16101,1.2892666149619343,103.77967286394906,Yellow Box,20,N
BUS STOP 16201,1.2812790645208116,103.78414177603261,Yellow Box,10,N
BUS STOP 16231,1.2864133003421432,103.77848476647634,Yellow Box,10,N
BUS STOP 16239,1.2865479806449105,103.77886450276759,Yellow Box,10,N
BUS STOP 18011,1.2809778576075936,103.80199997352334,Yellow Box,10,N
BUS STOP 18019,1.2808582313072439,103.80248594210859,Yellow Box,10,N
BUS STOP 18131,1.289169679888058,103.79219266286492,Yellow Box,10,N
BUS STOP 18241,1.2909438736399477,103.78707154464438,Yellow Box,10,N
BUS STOP 18251,1.290722877839238,103.78843410488649,Yellow Box,10,N
BUS STOP 18281,1.2874265930227498,103.79104382634684,Yellow Box,10,N
BUS STOP 18289,1.2873803719785593,103.791285246258,Yellow Box,16,N
160106-1,1.280164397370585,103.82489193260368,HDB_RACKS,8,N
160115-1,1.2811825562443724,103.82654294488489,HDB_RACKS,8,N
